run_num	method	calls	methodnum	jittered_methodnum
1	autom	12591	1	1
1	degree	13560	2	2
1	almost_random	13560	3	3
1	r	13560	4	4
2	autom	12591	1	1
2	degree	13585	2	2
2	almost_random	13585	3	3
2	r	13585	4	4
3	autom	12591	1	1
3	degree	12579	2	2
3	almost_random	12579	3	3
3	r	12579	4	4
4	autom	12591	1	1
4	degree	15238	2	2
4	almost_random	15238	3	3
4	r	15238	4	4
5	autom	12591	1	1
5	degree	13509	2	2
5	almost_random	13509	3	3
5	r	13509	4	4
6	autom	12591	1	1
6	degree	13249	2	2
6	almost_random	13249	3	3
6	r	13249	4	4
7	autom	12592	1	1
7	degree	13998	2	2
7	almost_random	13998	3	3
7	r	13998	4	4
8	autom	12591	1	1
8	degree	14420	2	2
8	almost_random	14420	3	3
8	r	14420	4	4
9	autom	12591	1	1
9	degree	13890	2	2
9	almost_random	13890	3	3
9	r	13890	4	4
10	autom	12591	1	1
10	degree	13249	2	2
10	almost_random	13249	3	3
10	r	13249	4	4
11	autom	12591	1	1
11	degree	13157	2	2
11	almost_random	13157	3	3
11	r	13157	4	4
12	autom	12591	1	1
12	degree	13978	2	2
12	almost_random	13978	3	3
12	r	13978	4	4
13	autom	12591	1	1
13	degree	14353	2	2
13	almost_random	14353	3	3
13	r	14353	4	4
14	autom	12591	1	1
14	degree	14076	2	2
14	almost_random	14076	3	3
14	r	14076	4	4
15	autom	12591	1	1
15	degree	14099	2	2
15	almost_random	14099	3	3
15	r	14099	4	4
16	autom	12591	1	1
16	degree	12562	2	2
16	almost_random	12562	3	3
16	r	12562	4	4
17	autom	12591	1	1
17	degree	12562	2	2
17	almost_random	12562	3	3
17	r	12562	4	4
18	autom	12592	1	1
18	degree	13419	2	2
18	almost_random	13419	3	3
18	r	13419	4	4
19	autom	12591	1	1
19	degree	13811	2	2
19	almost_random	13811	3	3
19	r	13811	4	4
20	autom	12592	1	1
20	degree	13999	2	2
20	almost_random	13999	3	3
20	r	13999	4	4
21	autom	12591	1	1
21	degree	12562	2	2
21	almost_random	12562	3	3
21	r	12562	4	4
22	autom	12591	1	1
22	degree	14930	2	2
22	almost_random	14930	3	3
22	r	14930	4	4
23	autom	12591	1	1
23	degree	14730	2	2
23	almost_random	14730	3	3
23	r	14730	4	4
24	autom	12592	1	1
24	degree	14199	2	2
24	almost_random	14199	3	3
24	r	14199	4	4
25	autom	12592	1	1
25	degree	14247	2	2
25	almost_random	14247	3	3
25	r	14247	4	4
26	autom	12591	1	1
26	degree	13145	2	2
26	almost_random	13145	3	3
26	r	13145	4	4
27	autom	12592	1	1
27	degree	14005	2	2
27	almost_random	14005	3	3
27	r	14005	4	4
28	autom	12591	1	1
28	degree	14801	2	2
28	almost_random	14801	3	3
28	r	14801	4	4
29	autom	12591	1	1
29	degree	14057	2	2
29	almost_random	14057	3	3
29	r	14057	4	4
30	autom	12591	1	1
30	degree	13778	2	2
30	almost_random	13778	3	3
30	r	13778	4	4
31	autom	12592	1	1
31	degree	13387	2	2
31	almost_random	13387	3	3
31	r	13387	4	4
32	autom	12591	1	1
32	degree	13340	2	2
32	almost_random	13340	3	3
32	r	13340	4	4
33	autom	12591	1	1
33	degree	12579	2	2
33	almost_random	12579	3	3
33	r	12579	4	4
34	autom	12591	1	1
34	degree	13557	2	2
34	almost_random	13557	3	3
34	r	13557	4	4
35	autom	12591	1	1
35	degree	12586	2	2
35	almost_random	12586	3	3
35	r	12586	4	4
36	autom	12591	1	1
36	degree	14618	2	2
36	almost_random	14618	3	3
36	r	14618	4	4
37	autom	12591	1	1
37	degree	13780	2	2
37	almost_random	13780	3	3
37	r	13780	4	4
38	autom	12592	1	1
38	degree	13508	2	2
38	almost_random	13508	3	3
38	r	13508	4	4
39	autom	12591	1	1
39	degree	14420	2	2
39	almost_random	14420	3	3
39	r	14420	4	4
40	autom	12591	1	1
40	degree	13317	2	2
40	almost_random	13317	3	3
40	r	13317	4	4
41	autom	12592	1	1
41	degree	14521	2	2
41	almost_random	14521	3	3
41	r	14521	4	4
42	autom	12591	1	1
42	degree	14735	2	2
42	almost_random	14735	3	3
42	r	14735	4	4
43	autom	12591	1	1
43	degree	14728	2	2
43	almost_random	14728	3	3
43	r	14728	4	4
44	autom	12591	1	1
44	degree	13317	2	2
44	almost_random	13317	3	3
44	r	13317	4	4
45	autom	12591	1	1
45	degree	13890	2	2
45	almost_random	13890	3	3
45	r	13890	4	4
46	autom	12592	1	1
46	degree	13660	2	2
46	almost_random	13660	3	3
46	r	13660	4	4
47	autom	12592	1	1
47	degree	14260	2	2
47	almost_random	14260	3	3
47	r	14260	4	4
48	autom	12591	1	1
48	degree	12586	2	2
48	almost_random	12586	3	3
48	r	12586	4	4
49	autom	12592	1	1
49	degree	14263	2	2
49	almost_random	14263	3	3
49	r	14263	4	4
50	autom	12591	1	1
50	degree	13495	2	2
50	almost_random	13495	3	3
50	r	13495	4	4
